ward,name,party,sourceUrl,lastChecked
Bablake,ASAMOAH Martin,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,BIRDI Jaswant Singh,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,BOYLE Lisa,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,BROMMER Peter,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,FEARN Jamie David,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,FIELD Russell David,Liberal Democrats - For a fair deal,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,JANDU Tarlochan Singh,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,MASTERSON-LAWRENCE Tramore Adrian,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,NKANTAH Dianabasi,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,RAM Joshi,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,STUART Lee John,Independent,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,TARIQ Muhammad,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,WEBB Niall Martin James,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,WELLS Jennifer Clare,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Bablake,WILSON Karen,Coventry Citizens Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/1,30-04-2026
Binley and Willenhall,AGBOOLA Seyi,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/2,30-04-2026
Binley and Willenhall,BAXTER Cameron Ewart,Coventry Citizens Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/2,30-04-2026
